"case_id","category","ai_confidence","ai_root_cause","expected_fault","human_decision","corrected_answer","reviewer_notes"
"CASE-020","routing","0.9","The 'default-information originate' command is missing from R1's OSPF process, so the static default route on R1 is not redistributed into OSPF and branch routers have no O*E2 default route.","'default-information originate' is missing from R1 OSPF process. Static default route exists but is not redistributed. Fix: add 'default-information originate' under 'router ospf 1' on R1.","Accepted","","AI correctly identified missing 'default-information originate' under OSPF. Evidence cites R1 having the static default route and R2 lacking it. Fix is correct."
"CASE-021","routing","0.9","R2 is summarizing 172.16.0.0/16 via EIGRP and installing a Null0 route for the summary. When R3's specific route to 172.16.10.0/24 is lost, R2 has no more-specific route and blackholes traffic destined for that subnet via Null0.","R2 advertises summary 172.16.0.0/16 but has no specific route to 172.16.10.0/24 (R3 lost that route). R2 installs a Null0 route for the summary and blackholes traffic. Fix: restore R3 specific routes or remove manual summary on R2.","Edited","R2 has configured a manual EIGRP summary for 172.16.0.0/16, which installs a Null0 route at AD 5. When R3's specific routes disappear (e.g. Gi0/2 failure), R2 has no more-specific route and drops traffic via Null0, creating a blackhole. The AI is correct that the Null0 route is the mechanism. However, the actual root cause is the COMBINATION of the summary AND the loss of R3's specific routes — the summary alone is not a bug if specific routes exist.","AI correctly diagnosed the Null0 blackhole and EIGRP summarization issue. However, the root cause statement doesn't fully explain WHY R3's specific route was lost — the case says 'R3 lost that route' but the AI just says 'when R3's specific route was lost' without speculating why. For a complete answer this should mention checking R3's Gi0/2 or redistributed route. Marked Edited for completeness."
"CASE-022","acl","0.9","The vty line transport input is configured as 'telnet' only, blocking SSH connections regardless of ACL permissions — SSH is not enabled as an allowed transport protocol.","vty lines configured with 'transport input telnet' only. SSH blocked by transport policy. Fix: 'transport input ssh telnet'. Also verify 'crypto key generate rsa' and 'ip ssh version 2'.","Accepted","","AI correctly identified 'transport input telnet' as the direct cause of SSH being blocked. Fix steps include RSA key generation and ip ssh version 2 which are necessary prerequisites."
"CASE-023","acl","0.9","The ACL INTERNET_IN is stateless and entry 30 'deny ip any any' blocks TCP return traffic (SYN-ACK packets from the web server back to clients), causing HTTP/HTTPS sessions to be established but immediately stall on data transfer.","Stateless ACL permits inbound HTTP/HTTPS but entry 30 denies TCP return traffic (SYN-ACK from server). Fix: add 'permit tcp host 192.168.10.50 any established' before entry 30, or use stateful ZBF.","Accepted","","AI correctly identified the stateless ACL blocking TCP return traffic via the high match count on entry 30 'deny ip any any'. Fix using 'permit tcp established' is the correct approach."
"CASE-024","acl","0.9","ACL BLOCK_PING denies ICMP but has no 'permit ip any any' statement — the implicit deny at the end of every Cisco ACL blocks all non-ICMP traffic as well.","ACL BLOCK_PING denies ICMP but has no 'permit ip any any'. The implicit deny blocks all remaining traffic. Fix: add 'permit ip any any' as last explicit entry.","Accepted","","AI correctly identified the missing 'permit ip any any' and the implicit deny behavior. The implicit deny is cited directly from the output comment."
"CASE-025","acl","0.9","ACL BLOCK_HOST is applied outbound on the LAN interface Gi0/1, but traffic from 192.168.1.100 to 10.0.0.0/8 exits via the WAN interface Gi0/0 — the ACL never inspects that traffic flow.","ACL applied outbound on LAN interface Gi0/1 but target traffic exits via WAN Gi0/0. ACL never matches. Fix: apply 'ip access-group BLOCK_HOST in' on Gi0/1 (inbound from LAN).","Accepted","","AI correctly identified the ACL direction issue — outbound on LAN interface never matches LAN-originated traffic destined for WAN. Fix correctly moves it to inbound."
"CASE-026","nat","0.9","A static NAT entry mapping the public IP 203.0.113.10 port 80 to the internal web server 192.168.1.80 port 80 is missing — only dynamic PAT for outbound traffic is configured.","Static NAT entry for the web server is missing. Only dynamic PAT configured. Fix: 'ip nat inside source static tcp 192.168.1.80 80 203.0.113.10 80'.","Accepted","","AI correctly identified missing static NAT entry for the web server. Evidence cites the empty 'show ip nat translations | include :80' output and the comment in running-config."
"CASE-027","nat","0.6","The physical cables are swapped — the LAN cable is plugged into Gi0/0 (which has the LAN IP 192.168.1.1 and is marked 'ip nat inside', correct logically) but the WAN cable is into Gi0/1 (WAN IP 203.0.113.2, marked 'ip nat outside'). If the IPs match the cable, NAT should work; re-reading the config suggests the IP addresses themselves are mis-assigned to the wrong physical interfaces.","Physical cables are swapped: LAN cable plugged into Gi0/0 (marked nat inside, correct) but WAN cable plugged into Gi0/1. The router config is correct but physical connectivity is reversed. Fix: swap cables or update config to match cabling.","Rejected","The NAT inside/outside designations in the config are correct (Gi0/0 LAN = nat inside, Gi0/1 WAN = nat outside). The actual fault is that the physical cables are plugged into the wrong router ports — the cable that should connect to the LAN is in the WAN port and vice versa. This is a physical layer (Layer 1) cabling fault, not a NAT configuration fault. Fix: swap the physical cables so the LAN cable goes to Gi0/0 and the WAN cable goes to Gi0/1.","The AI gave a confused and contradictory answer — it said the config 'shows Gi0/0 with LAN IP marked inside (CORRECT here) but then says cables are reversed'. The AI offered two conflicting options and never committed to which is the actual problem. The case notes clearly state the physical cables are swapped. The AI should have said definitively: physical cabling fault at Layer 1. The AI's uncertainty on a case that has clear evidence is a confidence failure — confidence should have been 'low' not 'medium', and the AI should have led with Layer 1 diagnosis."
"CASE-028","nat","0.6","After the IOS upgrade to 16.9, Cisco Express Forwarding (CEF) may have been disrupted. NAT in IOS 16.x requires CEF to be active; zero matches on the NAT ACL indicate traffic is not being processed through the NAT engine.","Zero matches on NAT ACL. In IOS 16.x CEF must be active for NAT. If CEF was inadvertently disabled post-upgrade, NAT stops working. Fix: verify 'ip cef' is in config and run 'no ip cef' then 'ip cef' to reset, then test.","Edited","After the IOS upgrade from 15.4 to 16.9, NAT is not processing any packets as shown by zero matches on the NAT ACL and empty translation table. The most likely cause is that ip CEF was disabled or reset during the upgrade. In IOS 15.4+, NAT requires CEF. Additionally, some IOS 16.x releases have known NAT/CEF interaction bugs. Fix: verify 'ip cef' is active, clear NAT translations, and check the IOS release notes for any NAT-specific bugs in 16.9.","AI answer is correct in directing attention to CEF and the IOS upgrade. However, the AI's confidence of 'medium' understates the diagnosis — zero ACL matches after upgrade is a very specific symptom that almost exclusively points to CEF or NAT engine not being initialized. The AI also didn't mention checking 'show ip interface' to see if ip nat inside/outside are still applied after upgrade (sometimes interface configs need reapplication after major IOS upgrades). Marked Edited to add the interface-check step."
"CASE-029","wireless","0.9","The Guest SSID (WLAN ID 2 'GuestWiFi') is mapped to the corporate VLAN 10 interface instead of the isolated guest VLAN 20 interface, allowing guest clients to reach internal corporate resources.","Guest SSID (WLAN 2) mapped to VLAN10 instead of VLAN20. Guest traffic enters corporate VLAN. Fix: change WLAN 2 interface mapping to VLAN20 on the WLC.","Accepted","","AI correctly identified the WLAN-to-interface mapping error (WLAN 2 on VLAN10 instead of VLAN20) from the 'show wlan summary' output. Evidence is direct and specific. Fix steps target the correct WLC configuration."
"CASE-030","wireless","0.9","VLAN 30 (the wireless client VLAN) is not included in the trunk allowed-VLAN list on SW1 GigabitEthernet0/5 (the AP uplink), so DHCP broadcasts from wireless clients cannot reach the DHCP server.","VLAN 30 is missing from the trunk allowed-VLAN list on the AP uplink. DHCP broadcasts cannot reach the server. Fix: 'switchport trunk allowed vlan add 30' on SW1 Gi0/5.","Accepted","","AI correctly identified VLAN 30 missing from the AP uplink trunk allowed-VLAN list. The client IP 0.0.0.0 combined with VLAN 30 assignment is correctly used as evidence of DHCP failure."
"CASE-031","wireless","0.9","Peer-to-Peer (P2P) blocking is enabled on WLAN 1, which drops all unicast traffic between wireless clients on the same SSID, preventing client-to-client communication including printing and file sharing.","P2P Blocking is enabled on WLAN 1. Drops all unicast between wireless clients on the same SSID. Fix: WLC > WLAN > Advanced > P2P Blocking = Disabled.","Accepted","","AI correctly identified P2P Blocking as the direct cause from 'P2P Blocking Action: Drop' in the WLAN config. The correlation to printer/file-share failure is correctly explained."
"CASE-032","wireless","0.9","A firewall is blocking CAPWAP control (UDP 5246) and data (UDP 5248) traffic from the AP subnet to the WLC management IP, preventing the AP from completing the DTLS handshake needed to join the WLC.","Firewall blocks CAPWAP control (UDP 5246) and data (UDP 5248) from AP subnet to WLC. AP cannot complete DTLS handshake. Fix: permit UDP 5246 and 5248 from AP subnets to WLC management IP.","Accepted","","AI correctly identified firewall blocking CAPWAP UDP 5246/5248 from the explicit firewall log deny entries. The DTLS failure is correctly explained as the consequence. Fix targets the right firewall rules."
