"case_id","category","symptom","topology_note","show_output","expected_fault","osi_layer","concept_tag","severity"
"CASE-011","dhcp","DHCP clients receive an IP address but no default gateway and no DNS server.","R1 DHCP server for 192.168.1.0/24. Pool configured by junior engineer.","R1# show running-config | section dhcp
ip dhcp excluded-address 192.168.1.1 192.168.1.10
ip dhcp pool LAN_POOL
 network 192.168.1.0 255.255.255.0
 ! default-router line missing
 ! dns-server line missing

R1# show ip dhcp binding
IP address       Client-ID         Lease expiration
192.168.1.11     0100.1a2b.3c.4d   Aug 27 2026 08:00 AM","DHCP pool LAN_POOL is missing 'default-router' and 'dns-server' options. Clients receive an IP but cannot route or resolve DNS. Fix: add 'default-router 192.168.1.1' and 'dns-server 8.8.8.8' inside the pool.","3 - Network","dhcp,pool,default-router,dns-server,option","high"
"CASE-012","dhcp","DHCP pool is exhausted; new clients get APIPA addresses (169.254.x.x).","R1 DHCP pool for 192.168.1.0/24. 254 hosts in the office; pool not sized correctly.","R1# show ip dhcp pool
 Pool LAN_POOL :
  Total addresses                : 50
  Leased addresses               : 50
  Current index        IP address range                    Leased addresses
  192.168.1.61         192.168.1.11     - 192.168.1.60     50

R1# show ip dhcp binding | count
50","Pool provides only 50 leases (192.168.1.11 - 192.168.1.60) for 254 hosts. Pool exhausted. Fix: extend range or reduce lease time with 'lease 0 4' (4-hour leases).","3 - Network","dhcp,pool-exhaustion,lease,apipa","critical"
"CASE-013","dhcp","DHCP server on R1 is not serving addresses to clients on a remote subnet connected via R2.","R1 (DHCP server) - R2 - SW2 - clients (10.30.0.0/24). R2 Gi0/1 faces SW2.","R2# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 10.30.0.1 255.255.255.0
 ! ip helper-address missing

R1# show ip dhcp binding
(empty — no bindings for 10.30.0.0/24)

R2# debug ip dhcp server packet
DHCPD: DHCPDISCOVER received on interface GigabitEthernet0/1
DHCPD: no subnet defined for 10.30.0.1","'ip helper-address <R1-IP>' is missing on R2 Gi0/1. DHCP broadcasts are not relayed to R1. Fix: add 'ip helper-address <R1_IP>' on R2 Gi0/1.","3 - Network","dhcp,helper-address,relay-agent,broadcast","high"
"CASE-014","dhcp","A rogue DHCP server hands out wrong gateway addresses; clients lose internet access intermittently.","Managed network with authorized DHCP on R1. An unmanaged home router added to VLAN 10 is acting as rogue DHCP server.","SW1# show ip dhcp snooping binding
MacAddress          IpAddress        Lease(sec)  Type       VLAN  Interface
00:1A:2B:3C:4D:5E   192.168.1.50     86400       dynamic    10    Gi0/3
00:AA:BB:CC:DD:EE   192.168.0.100    86400       dynamic    10    Gi0/7  <- rogue

SW1# show running-config | include snooping
! ip dhcp snooping vlan 10 NOT configured
! ip dhcp snooping trust on uplink NOT configured","DHCP snooping is not enabled. Rogue DHCP server on Gi0/7 serves incorrect gateways. Fix: 'ip dhcp snooping vlan 10', trust legitimate uplinks with 'ip dhcp snooping trust'.","2 - Data Link","dhcp,dhcp-snooping,rogue-server,security","critical"
"CASE-015","dns","Users can ping IP addresses but cannot browse websites by domain name.","Office LAN 192.168.1.0/24, ISP gateway 203.0.113.1, DNS should be 8.8.8.8.","PC-A> ping 8.8.8.8
84 bytes from 8.8.8.8: icmp_seq=1 ttl=57 time=14 ms

PC-A> ping google.com
google.com: Temporary failure in name resolution

PC-A> ipconfig /all
  DNS Servers . . . . . . . . . . : 192.168.1.200

R1# ping 192.168.1.200
% No route to host","DNS server address pushed via DHCP (192.168.1.200) points to a non-existent host. Fix: update DHCP pool dns-server to a reachable resolver such as 8.8.8.8.","7 - Application","dns,dhcp,name-resolution,dns-server","high"
"CASE-016","dns","Internal hostname resolution works but external DNS queries fail on a router acting as DNS forwarder.","R1 configured as DNS proxy for the LAN. ISP DNS is 203.0.113.53.","R1# show running-config | include dns
 ip dns server
 ip name-server 203.0.113.53

R1# debug ip dns
DNS: Sending DNS request to 203.0.113.53
DNS: Timed out waiting for reply

R1# ping 203.0.113.53
!!!!!

R1# show access-lists
Extended IP access list BLOCK_DNS
 10 deny udp any host 203.0.113.53 eq 53 (22 matches)
 20 permit ip any any","ACL BLOCK_DNS denies UDP port 53 to ISP DNS server. DNS queries dropped before reaching 203.0.113.53. Fix: remove ACL entry 10 or add permit for UDP/53 to the DNS server.","7 - Application","dns,acl,udp,port-53,name-resolution","high"
"CASE-017","dns","DNS resolution is intermittently slow or times out; some queries succeed, others fail.","Dual-ISP setup. DNS queries load-balanced across two serial links. CRC errors on one link.","R1# show interfaces Serial0/1
Serial0/1 is up, line protocol is up
  MTU 1500 bytes
  Input errors: 312, CRC: 189

R1# debug ip dns
DNS query for mail.corp.com -- SUCCESS via Serial0/0
DNS query for intranet.corp.com -- TIMEOUT via Serial0/1","Serial0/1 has high CRC errors indicating a physical or MTU issue. DNS queries routed via Serial0/1 fail. Fix: investigate cable/CSU-DSU on S0/1 or route DNS traffic only via S0/0.","1 - Physical","dns,mtu,crc-errors,dual-isp,serial","medium"
"CASE-018","routing","Traffic to 10.50.0.0/24 is dropped; traceroute shows packets looping between R2 and R3.","R1-R2-R3 ring topology. Static routes configured. 10.50.0.0/24 is behind R3.","R2# show ip route 10.50.0.0
S    10.50.0.0/24 [1/0] via 10.0.23.3

R3# show ip route 10.50.0.0
S    10.50.0.0/24 [1/0] via 10.0.23.2  <- points back to R2!

R3# show ip route
! No connected route for 10.50.0.0/24; Gi0/2 is shut

traceroute 10.50.0.10 from R1:
1  10.0.12.2  R2
2  10.0.23.3  R3
3  10.0.23.2  R2  (loop)
4  10.0.23.3  R3  (loop)","R3 Gi0/2 (the 10.50.0.0/24 interface) is shutdown so the connected route is absent and R3 static route loops back to R2. Fix: 'no shutdown' on R3 Gi0/2.","3 - Network","routing,static-route,routing-loop,traceroute","critical"
"CASE-019","routing","OSPF adjacency between R1 and R2 is stuck in EXSTART/EXCHANGE state.","R1 (RID 1.1.1.1) and R2 (RID 2.2.2.2) on same Ethernet segment, area 0.","R1# show ip ospf neighbor
Neighbor ID     Pri   State           Dead Time   Address         Interface
2.2.2.2           1   EXSTART/DR      00:00:32    10.0.12.2       Gi0/0

R1# show ip ospf interface Gi0/0
  MTU is 1500

R2# show ip ospf interface Gi0/0
  MTU is 1400

R1# show ip ospf neighbor detail
  Index 1/1, retransmission queue length 4, number of retransmission 8","MTU mismatch between R1 (1500) and R2 (1400). OSPF DBD packets from R1 exceed R2 MTU and are dropped, preventing LSA exchange. Fix: match MTUs with 'ip mtu 1400' on R1 Gi0/0, or use 'ip ospf mtu-ignore' as workaround.","3 - Network","ospf,mtu,adjacency,exstart,lsa","high"
"CASE-020","routing","Default route is not being advertised into OSPF; branch offices cannot reach the internet.","R1 is ASBR connected to ISP. Default route should be redistributed into OSPF area 0.","R1# show ip route
Gateway of last resort is 203.0.113.1 to network 0.0.0.0
S*   0.0.0.0/0 [1/0] via 203.0.113.1

R1# show ip ospf
 Routing Process ""ospf 1"" with ID 1.1.1.1
 ! default-information originate NOT in config

R2# show ip route 0.0.0.0
% Network not in table","'default-information originate' is missing from R1 OSPF process. Static default route exists but is not redistributed. Fix: add 'default-information originate' under 'router ospf 1' on R1.","3 - Network","ospf,default-route,default-information-originate,redistribution","high"
"CASE-021","routing","EIGRP summary route from R2 is present on R1 but traffic to specific subnets is blackholed.","R1-R2-R3 EIGRP AS 100. R2 is hub. Manual summarization 172.16.0.0/16 configured on R2.","R1# show ip route eigrp
D    172.16.0.0/16 [90/2195456] via 10.0.12.2, Gi0/0

R2# show ip route 172.16.10.0
% Network not in table

R2# show running-config | include summary
 ip summary-address eigrp 100 172.16.0.0 255.255.0.0 5

R2# show ip route
D    172.16.0.0/16 is a summary, Null0 [5/0]","R2 advertises summary 172.16.0.0/16 but has no specific route to 172.16.10.0/24 (R3 lost that route). R2 installs a Null0 route for the summary and blackholes traffic. Fix: restore R3 specific routes or remove manual summary on R2.","3 - Network","eigrp,summarization,null0,blackhole,auto-summary","high"
"CASE-022","acl","SSH to R1 from the management station is denied but Telnet works fine.","R1 management interface 10.0.0.1/24. ACL applied to vty lines. Management station 10.100.0.5.","R1# show access-lists
Standard IP access list MGMT_ACCESS
 10 permit 10.0.0.0 0.0.0.255
 20 deny   any (44 matches)

R1# show running-config | section line vty
line vty 0 4
 access-class MGMT_ACCESS in
 transport input telnet
 ! SSH not in transport input","vty lines configured with 'transport input telnet' only. SSH blocked by transport policy. Fix: 'transport input ssh telnet'. Also verify 'crypto key generate rsa' and 'ip ssh version 2'.","7 - Application","acl,ssh,telnet,vty,transport-input","medium"
"CASE-023","acl","Web server is reachable via ping but HTTP connections are established then hang.","R1 with ACL on Gi0/0 (internet-facing). Web server 192.168.10.50 behind Gi0/1.","R1# show ip access-lists INTERNET_IN
Extended IP access list INTERNET_IN
 10 permit tcp any host 192.168.10.50 eq 80 (1203 matches)
 20 permit tcp any host 192.168.10.50 eq 443 (892 matches)
 30 deny ip any any (1400 matches)

! Entry 30 also blocks TCP established return packets and ICMP unreachables","Stateless ACL permits inbound HTTP/HTTPS but entry 30 denies TCP return traffic (SYN-ACK from server). Fix: add 'permit tcp host 192.168.10.50 any established' before entry 30, or use stateful ZBF.","4 - Transport","acl,stateless,tcp-established,return-traffic,firewall","high"
"CASE-024","acl","ACL was meant to block only ICMP from outside but is also blocking all other traffic.","R1 Gi0/0 internet-facing. Extended ACL BLOCK_PING applied inbound.","R1# show access-lists BLOCK_PING
Extended IP access list BLOCK_PING
 10 deny icmp any any
 ! implicit deny all -- no permit statement follows

R1# show running-config interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip access-group BLOCK_PING in","ACL BLOCK_PING denies ICMP but has no 'permit ip any any'. The implicit deny blocks all remaining traffic. Fix: add 'permit ip any any' as last explicit entry.","3 - Network","acl,implicit-deny,permit,icmp,access-list","critical"
"CASE-025","acl","ACL has zero matches; traffic it should block is still flowing through.","R1 Gi0/1 LAN-facing. ACL intended to block 192.168.1.100 from reaching 10.0.0.0/8.","R1# show access-lists BLOCK_HOST
Extended IP access list BLOCK_HOST
 10 deny ip host 192.168.1.100 10.0.0.0 0.0.255.255
 20 permit ip any any

R1# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 192.168.1.1 255.255.255.0
 ip access-group BLOCK_HOST out   <- outbound on LAN, wrong direction

! Traffic from .100 to 10.0.0.0 exits via Gi0/0 (WAN), never hits Gi0/1 outbound","ACL applied outbound on LAN interface Gi0/1 but target traffic exits via WAN Gi0/0. ACL never matches. Fix: apply 'ip access-group BLOCK_HOST in' on Gi0/1 (inbound from LAN).","3 - Network","acl,direction,inbound,outbound,access-group","medium"
"CASE-026","nat","Inside hosts browse the internet but external hosts cannot reach the internal web server via its public IP.","R1 NAT router. Public IP 203.0.113.10. Internal web server 192.168.1.80 port 80.","R1# show ip nat translations
Pro Inside global      Inside local       Outside local      Outside global
tcp 203.0.113.10:1024  192.168.1.10:1024  8.8.8.8:80         8.8.8.8:80

R1# show running-config | include nat
 ip nat inside source list NAT_ACL interface GigabitEthernet0/0 overload
 ! Static NAT for web server MISSING

R1# show ip nat translations | include 203.0.113.10:80
(no output)","Static NAT entry for the web server is missing. Only dynamic PAT configured. Fix: 'ip nat inside source static tcp 192.168.1.80 80 203.0.113.10 80'.","3 - Network","nat,static-nat,pat,port-forwarding,dnat","high"
"CASE-027","nat","NAT translations appear but internet access fails; inside/outside seem reversed.","R1 NAT. Gi0/0 = WAN (203.0.113.2), Gi0/1 = LAN (192.168.1.1). inside/outside may be swapped.","R1# show running-config interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip address 192.168.1.1 255.255.255.0
 ip nat inside   <- LAN marked inside (CORRECT here but WAN has wrong IP)

R1# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 203.0.113.2 255.255.255.252
 ip nat outside  <- WAN marked outside (CORRECT)

! BUT ip addresses are swapped: Gi0/0 has LAN IP and Gi0/1 has WAN IP
! Physical cables connected in reverse order at the router","Physical cables are swapped: LAN cable plugged into Gi0/0 (marked nat inside, correct) but WAN cable plugged into Gi0/1. The router config is correct but physical connectivity is reversed. Fix: swap cables or update config to match cabling.","1 - Physical","nat,inside,outside,pat,physical,cabling","critical"
"CASE-028","nat","After an IOS upgrade, all NAT translations stopped working; show ip nat translations is empty.","R1 upgraded from IOS 15.4 to 16.9. NAT config unchanged. LAN 10.0.0.0/8, PAT to WAN interface.","R1# show ip nat translations
(empty)

R1# show running-config | section nat
 ip nat inside source list 10 interface GigabitEthernet0/0 overload

R1# show access-lists 10
Standard IP access list 10
 10 permit 10.0.0.0, wildcard bits 0.255.255.255 (0 matches)

R1# show ip nat statistics
Total active translations: 0 (0 static, 0 dynamic; 0 extended)","Zero matches on NAT ACL. In IOS 16.x CEF must be active for NAT. If CEF was inadvertently disabled post-upgrade, NAT stops working. Fix: verify 'ip cef' is in config and run 'no ip cef' then 'ip cef' to reset, then test.","3 - Network","nat,cef,ios-upgrade,acl,pat","high"
"CASE-029","wireless","Wireless guest clients can reach the internet but can also reach internal corporate servers.","WLC 5508 with two SSIDs: CORP (VLAN 10) and GUEST (VLAN 20). Guest should be isolated.","WLC> show wlan summary
WLAN ID  Profile Name  SSID         Status  Interface
1        CORP          CorpWiFi      Enabled VLAN10
2        GUEST         GuestWiFi     Enabled VLAN10   <- should be VLAN20!

WLC> show interface summary
Interface Name        VLAN  IP Address      Type
management            1     10.0.0.10       Static
VLAN10                10    192.168.10.1    Dynamic
VLAN20                20    192.168.20.1    Dynamic","Guest SSID (WLAN 2) mapped to VLAN10 instead of VLAN20. Guest traffic enters corporate VLAN. Fix: change WLAN 2 interface mapping to VLAN20 on the WLC.","2 - Data Link","wireless,wlan,vlan-mapping,guest-isolation,wlc","critical"
"CASE-030","wireless","Wireless clients associate to the AP but cannot obtain a DHCP address; they self-assign 169.254.x.x.","Lightweight AP in FlexConnect local switching mode, VLAN 30 for wireless clients. DHCP on 10.0.0.50.","AP# show dot11 associations
MAC Address     IP Address   SSID       VLAN  State
00:aa:bb:cc:dd  0.0.0.0      CorpWiFi   30    Assoc

SW1# show running-config interface GigabitEthernet0/5  (AP uplink)
interface GigabitEthernet0/5
 switchport trunk encapsulation dot1q
 switchport mode trunk
 switchport trunk allowed vlan 1,10,20
 ! VLAN 30 NOT in allowed list","VLAN 30 is missing from the trunk allowed-VLAN list on the AP uplink. DHCP broadcasts cannot reach the server. Fix: 'switchport trunk allowed vlan add 30' on SW1 Gi0/5.","2 - Data Link","wireless,flexconnect,trunk,vlan,dhcp,ap","high"
"CASE-031","wireless","Wireless clients on the same SSID cannot communicate with each other; printers and file shares stopped working.","Cisco WLC, WLAN 1 CorpWiFi, P2P blocking was enabled during a security audit.","WLC> show wlan 1
WLAN Identifier.................................. 1
Profile Name..................................... CORP
P2P Blocking Action.............................. Drop

Client A> ping Client B (both on CorpWiFi)
Request timeout for icmp_seq 0
(all wireless-to-wireless pings fail)","P2P Blocking is enabled on WLAN 1. Drops all unicast between wireless clients on the same SSID. Fix: WLC > WLAN > Advanced > P2P Blocking = Disabled.","2 - Data Link","wireless,p2p-blocking,wlan,client-isolation,wlc","medium"
"CASE-032","wireless","New AP is not joining the WLC; AP console shows 'DTLS connection failed'.","Cisco 9120AX AP, WLC 9800. CAPWAP control UDP 5246 must be open through firewall.","AP Console:
*Aug 25 17:00:01.123: %CAPWAP-3-ERRORLOG: Did not get DTLS connection
*Aug 25 17:00:01.456: %CAPWAP-3-ERRORLOG: Go join a capwap controller

WLC# show ap summary
(AP 00:AA:BB:CC:DD:EE NOT listed)

Firewall log:
DENY UDP 10.0.50.15:56432 -> 10.0.0.10:5246 (CAPWAP-Control)
DENY UDP 10.0.50.15:56433 -> 10.0.0.10:5248 (CAPWAP-Data)","Firewall blocks CAPWAP control (UDP 5246) and data (UDP 5248) from AP subnet to WLC. AP cannot complete DTLS handshake. Fix: permit UDP 5246 and 5248 from AP subnets to WLC management IP.","4 - Transport","wireless,capwap,dtls,wlc,firewall,udp","high"
